* Dictionary *
score2002:		percentage of votes in the second round of the 2002 elections
score1997:		percentage of votes in the second round of the 1997 elections by the candidate of the same party
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
status:		= "N" if candidate is new; = "I" if candidate is an incumbent; = "L" if candidate was a candidate in 1997 who lost; = "M" if candidate was an incumbent in a different district in 1997
status_opp:		= status of opponent
party:		party
expenditures:	campaign expenditures
party_support:	party contributions to campaing expenditures
first_name:		first name of candidate
last_name:		last name of candidate
**************

last_name	first_name	score2002	district	score2007	male	male_opp	party	age	age_opp	status	status_opp
"danen"	"marie claire"	.4895	"31//3"	.4274	0	1	"UMP"	56	57.25	"N"	"I"
"diebold"	"jean"	.5088	"31//4"	.4354	1	0	"UMP"	68.33334	54.08333	"I"	"N"
"martinel"	"martine"	.4912	"31//4"	.5646	0	1	"PS"	54.08333	68.33334	"N"	"I"
"imbert"	"francoise"	.5688	"31//5"	.5787	0	1	"PS"	59.75	58.91667	"I"	"N"
"carneiro"	"gregoire"	.4312	"31//5"	.4213	1	0	"UMP"	58.91667	59.75	"N"	"I"
"de veyrinas"	"francoise"	.4643	"31//6"	.449	0	0	"UMP"	63.75	62.25	"L"	"N"
"iborra"	"monique"	.5357	"31//6"	.551	0	0	"PS"	62.25	63.75	"N"	"L"
"lemasle"	"patrick"	.5619	"31//7"	.5727	1	1	"PS"	55.41667	57.5	"I"	"N"
"bastiani"	"jean pierre"	.4381	"31//7"	.4273	1	1	"UMP"	57.5	55.41667	"N"	"I"
"idiart"	"jean louis"	.6082	"31//8"	.604	1	0	"PS"	57.41667	58.91667	"I"	"N"
"boulet ribet"	"francoise"	.3918	"31//8"	.396	0	1	"UMP"	58.91667	57.41667	"N"	"I"
"martin"	"philippe"	.5637	"32//1"	.5889	1	0	"PS"	1953.917	49.25	""	"N"
"mouchet"	"anne marie"	.4363	"32//1"	.4111	0	1	"UMP"	49.25	1953.917	"N"	""
"dubrac"	"gerard"	.5216	"32//2"	.4941	1	0	"UMP"	54.83333	55.5	"I"	"N"
"biemouret"	"gisele"	.4784	"32//2"	.5059	0	1	"PS"	55.5	54.83333	"N"	"I"
"bourrague"	"chantal"	.5971	"33//1"	.5445	0	0	"UMP"	61.25	51.33333	"I"	"L"
"desaigues"	"beatrice"	.4029	"33//1"	.4555	0	0	"PS"	51.33333	61.25	"L"	"I"
"buisson"	"philippe"	.4884	"33//10"	.4849	1	1	"PS"	38	51.16667	"N"	"N"
"garraud"	"jean paul"	.5116	"33//10"	.5151	1	1	"UMP"	51.16667	38	"N"	"N"
"estrade"	"helene"	.485	"33//11"	.4493	0	1	"UMP"	50.66667	56.08333	"N"	"N"
"plisson"	"philippe"	.515	"33//11"	.5507	1	0	"PS"	56.08333	50.66667	"N"	"N"
"juppe"	"alain"	.5549	"33//2"	.4907	1	0	"UMP"	61.66667	60.08333	"I"	"N"
"delaunay"	"michele"	.4451	"33//2"	.5093	0	1	"PS"	60.08333	61.66667	"N"	"I"
"lacuey"	"conchita"	.5929	"33//4"	.595	0	0	"PS"	63.75	39	"I"	"L"
"delattre"	"nathalie"	.4071	"33//4"	.405	0	0	"UMP"	39	63.75	"L"	"I"
"regere"	"jean francois"	.529	"33//5"	.4963	1	0	"UMP"	59.58333	46.33333	"I"	"N"
"got"	"pascale"	.471	"33//5"	.5037	0	1	"PS"	46.33333	59.58333	"N"	"I"
"sainte marie"	"michel"	.5159	"33//6"	.5719	1	0	"PS"	68.66666	54.33333	"I"	"N"
"mutter"	"marie helene"	.4841	"33//6"	.4281	0	1	"UMP"	54.33333	68.66666	"N"	"I"
"rousset"	"alain"	.5715	"33//7"	.6046	1	0	"PS"	56.16667	45.33333	"N"	"N"
"dufranc"	"sylvie"	.4285	"33//7"	.3954	0	1	"UMP"	45.33333	56.16667	"N"	"N"
"deluga"	"francois"	.4748	"33//8"	.4587	1	0	"PS"	50.91667	57.41667	"L"	"N"
"des esgaulx de nolet"	"marie helene"	.5252	"33//8"	.5413	0	1	"UMP"	57.41667	50.91667	"N"	"L"
"dubourg"	"philippe"	.5028	"33//9"	.4423	1	0	"UMP"	68.58334	58.75	"I"	"N"
"faure"	"martine"	.4972	"33//9"	.5577	0	1	"PS"	58.75	68.58334	"N"	"I"
"domergue"	"jacques"	.5427	"34//1"	.522	1	1	"UMP"	54.25	67.41666	"M"	"N"
"guibal"	"michel"	.4573	"34//1"	.478	1	1	"PS"	67.41666	54.25	"N"	"M"
"vezinhet"	"andre"	.4968	"34//2"	.5392	1	1	"PS"	67.75	35.25	"N"	"N"
"julien"	"arnaud"	.5032	"34//2"	.4608	1	1	"UMP"	35.25	67.75	"N"	"N"
"grand"	"jean pierre"	.5437	"34//3"	.567	1	0	"UMP"	56.91667	63.91667	"I"	"L"
"lazerges"	"christine"	.4563	"34//3"	.433	0	1	"PS"	63.91667	56.91667	"L"	"I"
"mesquida"	"kleber"	.5162	"34//5"	.5231	1	1	"PS"	61.66667	58.75	"I"	"L"
"roques"	"marcel"	.4838	"34//5"	.4769	1	1	"UMP"	58.75	61.66667	"L"	"I"
"boucheron"	"jean michel"	.6215	"35//1"	.6549	1	0	"PS"	59.25	43	"I"	"N"
"louis"	"marie"	.3785	"35//1"	.3451	0	1	"UMP"	43	59.25	"N"	"I"
"tourtelier"	"philippe"	.5249	"35//2"	.5643	1	1	"PS"	58.58333	42.83333	"I"	"L"
"le brun"	"loick"	.4751	"35//2"	.4357	1	1	"UMP"	42.83333	58.58333	"L"	"I"
"rouault"	"philippe"	.5079	"35//3"	.4725	1	1	"UMP"	45	59.08333	"I"	"L"
"rogemont"	"marcel"	.4921	"35//3"	.5275	1	1	"PS"	59.08333	45	"L"	"I"
"marsac"	"jean rene"	.4938	"35//4"	.5293	1	1	"PS"	53.33333	43	"N"	"N"
