* Dictionary *
cycle:		cycle # (supergame within a session)
period:		period # (period within a cycle)
beta:			beta, = 999 if one-shot treatment (OS), = 999999 if infinity treatment
z:			public signal, set to missing if beta = 999999, or in two occasion because it was not recorded
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
coop:			= 1 if subject cooperated, = 0 o/w
group:		identifies subjects that were grouped together for a cycle
id:			id #, constant within a session
**************

cycle	period	beta	z	date	coop	group	id
8	20	0	20	111301	1	86	6
8	21	0	20	111301	1	86	6
8	22	0	20	111301	1	86	6
1	1	0	18	111301	0	12	7
1	2	0	16	111301	0	12	7
1	3	0	16	111301	0	12	7
1	4	0	20	111301	1	12	7
2	1	0	18	111301	0	24	7
2	2	0	18	111301	1	24	7
2	3	0	18	111301	0	24	7
2	4	0	16	111301	0	24	7
2	5	0	16	111301	0	24	7
2	6	0	20	111301	1	24	7
2	7	0	20	111301	1	24	7
2	8	0	20	111301	1	24	7
2	9	0	20	111301	1	24	7
2	10	0	18	111301	0	24	7
2	11	0	18	111301	1	24	7
2	12	0	20	111301	1	24	7
2	13	0	20	111301	1	24	7
2	14	0	20	111301	1	24	7
2	15	0	20	111301	1	24	7
2	16	0	20	111301	1	24	7
3	1	0	20	111301	1	28	7
3	2	0	20	111301	1	28	7
3	3	0	20	111301	1	28	7
4	1	0	20	111301	1	44	7
4	2	0	20	111301	1	44	7
4	3	0	20	111301	1	44	7
4	4	0	20	111301	1	44	7
4	5	0	20	111301	1	44	7
4	6	0	20	111301	1	44	7
4	7	0	20	111301	1	44	7
4	8	0	20	111301	1	44	7
4	9	0	20	111301	1	44	7
4	10	0	20	111301	1	44	7
4	11	0	20	111301	1	44	7
4	12	0	20	111301	1	44	7
4	13	0	20	111301	1	44	7
4	14	0	20	111301	1	44	7
4	15	0	20	111301	1	44	7
4	16	0	20	111301	1	44	7
5	1	0	20	111301	1	58	7
5	2	0	20	111301	1	58	7
5	3	0	20	111301	1	58	7
5	4	0	20	111301	1	58	7
5	5	0	20	111301	1	58	7
6	1	0	20	111301	1	65	7
6	2	0	20	111301	1	65	7
6	3	0	20	111301	1	65	7
6	4	0	20	111301	1	65	7
6	5	0	20	111301	1	65	7
6	6	0	20	111301	1	65	7
7	1	0	20	111301	1	77	7
7	2	0	20	111301	1	77	7
8	1	0	20	111301	1	91	7
8	2	0	20	111301	1	91	7
8	3	0	20	111301	1	91	7
8	4	0	20	111301	1	91	7
8	5	0	20	111301	1	91	7
8	6	0	20	111301	1	91	7
8	7	0	20	111301	1	91	7
8	8	0	20	111301	1	91	7
8	9	0	20	111301	1	91	7
8	10	0	20	111301	1	91	7
8	11	0	20	111301	1	91	7
8	12	0	20	111301	1	91	7
8	13	0	20	111301	1	91	7
8	14	0	20	111301	1	91	7
8	15	0	20	111301	1	91	7
8	16	0	20	111301	1	91	7
8	17	0	20	111301	1	91	7
8	18	0	20	111301	1	91	7
8	19	0	20	111301	1	91	7
8	20	0	20	111301	1	91	7
8	21	0	20	111301	1	91	7
8	22	0	20	111301	1	91	7
1	1	0	20	111301	1	7	8
1	2	0	20	111301	1	7	8
1	3	0	20	111301	1	7	8
1	4	0	20	111301	1	7	8
2	1	0	20	111301	1	17	8
2	2	0	18	111301	1	17	8
2	3	0	16	111301	0	17	8
2	4	0	16	111301	0	17	8
2	5	0	20	111301	1	17	8
2	6	0	20	111301	1	17	8
2	7	0	20	111301	1	17	8
2	8	0	18	111301	1	17	8
2	9	0	16	111301	0	17	8
2	10	0	18	111301	0	17	8
2	11	0	18	111301	0	17	8
2	12	0	20	111301	1	17	8
2	13	0	18	111301	1	17	8
2	14	0	18	111301	1	17	8
2	15	0	18	111301	1	17	8
2	16	0	18	111301	0	17	8
3	1	0	18	111301	1	25	8
3	2	0	18	111301	1	25	8
3	3	0	16	111301	0	25	8
4	1	0	20	111301	1	42	8
4	2	0	20	111301	1	42	8
4	3	0	20	111301	1	42	8
4	4	0	20	111301	1	42	8
4	5	0	20	111301	1	42	8
4	6	0	20	111301	1	42	8
4	7	0	20	111301	1	42	8
4	8	0	20	111301	1	42	8
4	9	0	20	111301	1	42	8
4	10	0	20	111301	1	42	8
4	11	0	20	111301	1	42	8
4	12	0	20	111301	1	42	8
4	13	0	20	111301	1	42	8
4	14	0	20	111301	1	42	8
4	15	0	20	111301	1	42	8
4	16	0	20	111301	1	42	8
5	1	0	20	111301	1	60	8
5	2	0	20	111301	1	60	8
5	3	0	20	111301	1	60	8
5	4	0	20	111301	1	60	8
5	5	0	20	111301	1	60	8
6	1	0	20	111301	1	64	8
6	2	0	20	111301	1	64	8
6	3	0	20	111301	1	64	8
6	4	0	20	111301	1	64	8
6	5	0	20	111301	1	64	8
6	6	0	20	111301	1	64	8
7	1	0	20	111301	1	83	8
7	2	0	20	111301	1	83	8
8	1	0	20	111301	1	90	8
8	2	0	20	111301	1	90	8
8	3	0	20	111301	1	90	8
8	4	0	20	111301	1	90	8
8	5	0	20	111301	1	90	8
8	6	0	20	111301	1	90	8
8	7	0	20	111301	1	90	8
8	8	0	20	111301	1	90	8
8	9	0	20	111301	1	90	8
8	10	0	20	111301	1	90	8
8	11	0	20	111301	1	90	8
8	12	0	20	111301	1	90	8
8	13	0	20	111301	1	90	8
8	14	0	20	111301	1	90	8
8	15	0	20	111301	1	90	8
8	16	0	20	111301	1	90	8
8	17	0	20	111301	1	90	8
8	18	0	20	111301	1	90	8
8	19	0	20	111301	1	90	8
8	20	0	20	111301	1	90	8
8	21	0	20	111301	1	90	8
8	22	0	20	111301	1	90	8
1	1	0	20	111301	1	10	9
1	2	0	20	111301	1	10	9
1	3	0	20	111301	1	10	9
1	4	0	20	111301	1	10	9
2	1	0	18	111301	1	24	9
2	2	0	18	111301	0	24	9
2	3	0	18	111301	1	24	9
2	4	0	16	111301	0	24	9
2	5	0	16	111301	0	24	9
2	6	0	20	111301	1	24	9
2	7	0	20	111301	1	24	9
2	8	0	20	111301	1	24	9
2	9	0	20	111301	1	24	9
2	10	0	18	111301	1	24	9
2	11	0	18	111301	0	24	9
2	12	0	20	111301	1	24	9
2	13	0	20	111301	1	24	9
2	14	0	20	111301	1	24	9
2	15	0	20	111301	1	24	9
