* Dictionary *
session:	session #
period:	period #
round:	round # within the period
id:		id #
position:	position in the network; 1:=s1, 2:=s2, 3:=b1, 4:=s3, 5:=s4, 6:=b2, 7:=b3
vote:		= 1 if the subjected accepted the best offer received, i.e. offer_1
by:		position of subject whose offer is accepted
payoff:	payoff in that round
V:		= 1 if subject is part of the V network, = 0 o/w
X:		= 1 if subject is part of the |X| network, = 0 o/w
N:		= 1 if subject is part of the N network, = 0 o/w
amount:	amount to be divided
offer:	amount offered
offer_1:	best offer received
offer_2:	second best offer received
offer_3:	worst offer received
accepted:	= 1 if offer was accepted, = 0 o/w
link_bt:	= 1 if there is a link from the bottom of the V (b1) to the top of the |X| or the N (s3), 0 o/w
link_tb:	= 1 if there is a link from the top of the V (s2) to the bottom of the |X| or the N (b2), 0 o/w
* Note that 10 observations from 5 periods have been changed after publication of the paper. These were recording mistakes.
**************

session	period	round	id	position	vote	by	payoff	V	X	N	amount	offer	offer_1	offer_2	offer_3	accepted	link_bt	link_tb
3	1	5	16	4			0	0	1	0	2100	1100				0	0	0
3	1	5	21	7	0		0	0	1	0	2100		1100			0	0	0
3	1	6	16	4	0		200	0	1	0	2000		600			0	0	0
3	1	6	21	7			200	0	1	0	2000	600				0	0	0
3	2	1	20	1			200	1	0	0	2500	1200				0	0	0
3	2	1	15	2			1200	1	0	0	2500	1300				1	0	0
3	2	1	18	3	1	2	1300	1	0	0	2500		1300	1200			0	0
3	2	1	19	4			1250	0	1	0	2500	1250				1	0	0
3	2	1	21	5			1250	0	1	0	2500	1250				0	0	0
3	2	1	16	6	1	4	1250	0	1	0	2500		1250	1250			0	0
3	2	1	17	7	1	4	1250	0	1	0	2500		1250	1250			0	0
3	3	1	18	1			0	1	0	0	2500	1400				0	0	0
3	3	1	20	2			0	1	0	0	2500	1300				0	0	0
3	3	1	15	3	0		0	1	0	0	2500		1400	1300		0	0	0
3	3	1	17	4			1250	0	1	0	2500	1250				1	0	0
3	3	1	16	5			1250	0	1	0	2500	1250				0	0	0
3	3	1	21	6	1	4	1250	0	1	0	2500		1250	1250			0	0
3	3	1	19	7	1	4	1250	0	1	0	2500		1250	1250			0	0
3	3	2	18	1	1	1	900	1	0	0	2400		900				0	0
3	3	2	20	2	1	1	200	1	0	0	2400		900				0	0
3	3	2	15	3			1500	1	0	0	2400	900				0	0	0
3	4	1	20	1			0	1	0	0	2500	1400				0	0	0
3	4	1	15	2			0	1	0	0	2500	1400				0	0	0
3	4	1	18	3	0		0	1	0	0	2500		1400	1400		0	0	0
3	4	1	21	4			1250	0	1	0	2500	1250				1	0	0
3	4	1	19	5			0	0	1	0	2500	1200				0	0	0
3	4	1	16	6	1	4	1250	0	1	0	2500		1250	1200			0	0
3	4	1	17	7	1	4	0	0	1	0	2500		1250	1200			0	0
3	4	2	20	1	1	3	800	1	0	0	2400		800				0	0
3	4	2	15	2	1	3	200	1	0	0	2400		800				0	0
3	4	2	18	3			1600	1	0	0	2400	800				1	0	0
3	4	2	19	5	1	7	1200	0	1	0	2400		1200				0	0
3	4	2	17	7			1200	0	1	0	2400	1200				1	0	0
3	5	1	18	1			0	1	0	0	2500	1500				0	1	0
3	5	1	20	2			0	1	0	0	2500	1400				0	1	0
3	5	1	15	3	0		0	1	0	0	2500		1500	1400	1150	0	1	0
3	5	1	19	4			0	0	1	0	2500	1150				0	1	0
3	5	1	21	5			1300	0	1	0	2500	1200				1	1	0
3	5	1	17	6	1	5	1200	0	1	0	2500		1200	1150			1	0
3	5	1	16	7	1	5	0	0	1	0	2500		1200	1150			1	0
3	5	2	18	1	1	3	750	1	0	0	2400		750				1	0
3	5	2	20	2	1	3	200	1	0	0	2400		750				1	0
3	5	2	15	3			1650	1	0	0	2400	750				1	1	0
3	5	2	19	4	0		0	0	1	0	2400		1100			0	1	0
3	5	2	16	7			0	0	1	0	2400	1100				0	1	0
3	5	3	19	4			1250	0	1	0	2300	1050				1	1	0
3	5	3	16	7	1	4	1050	0	1	0	2300		1050				1	0
3	6	1	15	1			1000	1	0	0	2500	1500				1	1	0
3	6	1	18	2			200	1	0	0	2500	1500				0	1	0
3	6	1	20	3	1	1	1500	1	0	0	2500		1500	1500	1100		1	0
3	6	1	21	4			0	0	1	0	2500	1100				0	1	0
3	6	1	16	5			1300	0	1	0	2500	1200				1	1	0
3	6	1	19	6	0		0	0	1	0	2500		1200	1100		0	1	0
