* Dictionary *
paper:      paper #, labelled with authors and year
session:    session #
id:			    id #
oid:			    partner id #
supergame:	match #
round:		  round #
horizon:	length of supergame
r:    	    payoff to joint cooperation (reward) in dollars
s:          payoff to cooperation when other defects (sucker) in dollars
t:          payoff to defection when other cooperates (temptation) in dollars
p:          payoff to joint defection (punishment) in dollars
NOTE: r, s, t, and p above are the experimental currency units (ECU).
g:          1+g is the payoff to defection when other cooperates and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (gain)
l:          l is the payoff to cooperation when other defects and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (loss)
sizebad:    SIZE of the Basin of attraction of Always Defect, as defined in Embrey, Frechette, and Yuksel (2017), between 0 and 1.
			Only defined for round 1 because that is how it is used in that paper.
coop:       = 1 if subject cooperated, = 0 o/w
order:		for experiments with within subjects design this number indicates the order of the treatments
**************/

paper	session	id	oid	supergame	round	horizon	r	s	t	p	g	l	sizebad	coop	order
"Dal Bo (2005)"	11100	11127	11101	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11127	11115	13	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11127	11114	14	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11127	11113	15	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11128	11103	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11128	11102	12	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11128	11101	13	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11128	11115	14	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11128	11114	15	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11129	11104	11	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11129	11103	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11129	11102	13	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11129	11101	14	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11129	11115	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11130	11105	11	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11130	11104	12	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11130	11103	13	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11130	11102	14	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11130	11101	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11101	11121	6	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11101	11122	7	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11101	11123	8	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11101	11124	9	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11101	11125	10	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11102	11122	6	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11102	11123	7	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11102	11124	8	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11102	11125	9	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11102	11126	10	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11103	11123	6	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11103	11124	7	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11103	11125	8	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11103	11126	9	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11103	11127	10	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11104	11124	6	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11104	11125	7	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11104	11126	8	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11104	11127	9	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11104	11128	10	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11105	11125	6	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11105	11126	7	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11105	11127	8	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11105	11128	9	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11105	11129	10	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11106	11126	6	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11106	11127	7	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11106	11128	8	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11106	11129	9	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11106	11130	10	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11107	11127	6	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11107	11128	7	1	2	65	10	100	35	1.166667	.8333333	1	0	2
"Dal Bo (2005)"	11100	11107	11129	8	1	2	65	10	100	35	1.166667	.8333333	1	1	2
"Dal Bo (2005)"	11100	11107	11130	9	1	2	65	10	100	35	1.166667	.8333333	1	0	2
