* Dictionary *
score1997:		percentage of votes in the second round of the 1997 elections
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

last_name	first_name	party	district	score1997	male	male_opp
"DUFOURCQ"	"PIERRE"	"UDF"	"40//3"	.3906655	1	1
"LANG"	"JACK"	"SOC"	"41//1"	.5318845	1	0
"GOURAULT"	"JACQUELINE"	"UDF"	"41//1"	.4681155	0	1
"LORGEOUX"	"JEANNY"	"SOC"	"41//2"	.4986545	0	1
"MARTIN LALANDE"	"PATRICE"	"RPR"	"41//2"	.5013455	1	0
"CHANET"	"DANIEL"	"SOC"	"41//3"	.4462178	1	1
"LEROY"	"MAURICE"	"UDF"	"41//3"	.5537822	1	1
"AUROUX"	"JEAN"	"PRG"	"42//5"	.4805671	1	1
"NICOLIN"	"YVES"	"UDF"	"42//5"	.5194329	1	1
"FRULEUX"	"DOMINIQUE"	"PRG"	"42//6"	.4464002	0	1
"CLEMENT"	"PASCAL"	"UDF"	"42//6"	.5535998	1	0
"BARROT"	"JACQUES"	"UDF"	"43//1"	.5471285	1	1
"THIVEL"	"JEAN PAUL"	"SOC"	"43//1"	.4528715	1	1
"ROURE"	"ANDRE"	"SOC"	"43//2"	.4741651	1	1
"PRORIOL"	"JEAN"	"UDF"	"43//2"	.5258349	1	1
"PAPON"	"MONIQUE"	"UDF"	"44//1"	.494826	0	1
"RIMBERT"	"PATRICK"	"PRG"	"44//1"	.505174	1	0
"NADAL"	"CHRISTIAN"	"PRG"	"44//10"	.4219126	1	1
"POIGNANT"	"SERGE"	"RPR"	"44//10"	.5780873	1	1
"HUBERT"	"ELISABETH"	"RPR"	"44//2"	.4917986	0	0
"CLERGEAU"	"MARIE FRANCOISE"	"PRG"	"44//2"	.5082014	0	0
"HAROUSSEAU"	"JEAN LUC"	"UDF"	"44//3"	.3327268	1	1
"AYRAULT"	"JEAN MARC"	"PRG"	"44//3"	.6672732	1	1
"FLOCH"	"JACQUES"	"PRG"	"44//4"	.6345896	1	1
"URBANCZYK"	"STEPHANE"	"UDF"	"44//4"	.3654104	1	1
"MAZZORANA"	"ALEXANDRE"	"PRG"	"44//5"	.4672264	1	1
"LANDRAIN"	"EDOUARD"	"UDF"	"44//5"	.5327736	1	1
"CHIGNAC"	"GENEVIEVE"	"PRG"	"44//6"	.4547388	0	1
"HUNAULT"	"MICHEL"	"RPR"	"44//6"	.5452611	1	0
"PRIOU"	"CHRISTOPHE"	"RPR"	"44//7"	.4983603	1	1
"LEROUX"	"RENE"	"PRG"	"44//7"	.5016397	1	1
"HERIAUD"	"PIERRE"	"UDF"	"44//9"	.559168	1	1
"LEBEAUPIN"	"YANNICK"	"PRG"	"44//9"	.440832	1	1
"CARRE"	"ANTOINE"	"UDF"	"45//1"	.5113443	1	1
"SUEUR"	"JEAN PIERRE"	"PRG"	"45//1"	.4886557	1	1
"BERNARD"	"JEAN LOUIS"	"UDF"	"45//3"	.5263979	1	1
"LAPAIRE"	"JEAN PIERRE"	"PRG"	"45//3"	.4736021	1	1
"CORNIER ESTEVE"	"CHANTAL"	"PRG"	"45//5"	.4559697	0	1
"CHARIE"	"JEAN PAUL"	"RPR"	"45//5"	.5440303	1	0
"CHARLES"	"BERNARD"	"PRG"	"46//1"	.5611771	1	1
"ROUMEGOUX"	"MICHEL"	"UDF"	"46//1"	.4388229	1	1
"CHATAGNOL"	"ALAIN"	"RPR"	"46//2"	.3943427	1	1
"MALVY"	"MARTIN"	"SOC"	"46//2"	.6056573	1	1
"VEYRET"	"ALAIN"	"SOC"	"47//1"	.5450264	1	1
"CHOLLET"	"PAUL"	"UDF"	"47//1"	.4549737	1	1
"RICHARD"	"GEORGES"	"RPR"	"47//2"	.4644878	1	1
"GOUZES"	"GERARD"	"SOC"	"47//2"	.5355122	1	1
"SOULAGE"	"DANIEL"	"UDF"	"47//3"	.4926618	1	1
"CAHUZAC"	"JEROME"	"SOC"	"47//3"	.5073382	1	1
"CHAZAL"	"JEAN CLAUDE"	"PRG"	"48//1"	.5174844	1	1
"DELMAS"	"JEAN JACQUES"	"UDF"	"48//1"	.4825156	1	1
"GALESNE"	"ISABELLE"	"SOC"	"49//1"	.4690211	0	0
"BACHELOT NARQUIN"	"ROSELYNE"	"RPR"	"49//1"	.5309789	0	0
"GRIMAULT"	"HUBERT"	"UDF"	"49//2"	.5174825	1	1
"BOYER"	"JEAN CLAUDE"	"SOC"	"49//2"	.4825175	1	1
"MARTIN"	"CHRISTIAN"	"UDF"	"49//3"	.5152951	1	1
"GUIBERT"	"PIERRE"	"SOC"	"49//3"	.4847048	1	1
"MOULY"	"ANTOINE"	"SOC"	"49//5"	.4678143	1	1
"LIGOT"	"MAURICE"	"UDF"	"49//5"	.5321857	1	1
"GENDRAULT"	"EVA"	"SOC"	"49//6"	.3787791	0	1
"DE CHARETTE"	"HERVE"	"UDF"	"49//6"	.6212209	1	0
"CHERET"	"DANIEL"	"SOC"	"49//7"	.4484769	1	1
"LAFFINEUR"	"MARC"	"UDF"	"49//7"	.5515231	1	1
"CHEVALLIER"	"DANIEL"	"SOC"	"5//1"	.5125749	1	0
"MARTINEZ"	"HENRIETTE"	"RPR"	"5//1"	.4874251	0	1
"MUSSON"	"ALAIN"	"SOC"	"5//2"	.4897091	1	1
"OLLIER"	"PATRICK"	"RPR"	"5//2"	.5102909	1	1
"LEMOINE"	"JEAN CLAUDE"	"RPR"	"50//1"	.5646477	1	1
"VIGOT"	"MICHEL"	"SOC"	"50//1"	.4353523	1	1
"COUSIN"	"ALAIN"	"RPR"	"50//3"	.5661163	1	0
"BOYER"	"ELISABETH"	"PRG"	"50//3"	.4338837	0	1
"CAZENEUVE"	"BERNARD"	"PRG"	"50//5"	.5860195	1	1
"BONNET"	"YVES"	"UDF"	"50//5"	.4139805	1	1
"CARPENTIER"	"HUBERT"	"SOC"	"51//1"	.4651896	1	1
"FALALA"	"JEAN"	"RPR"	"51//1"	.5348104	1	1
"ETIENNE"	"JEAN CLAUDE"	"RPR"	"51//2"	.5094896	1	1
"LAVAL"	"JEAN CLAUDE"	"SOC"	"51//2"	.4905104	1	1
"HAZAN"	"ADELINE"	"SOC"	"51//3"	.4846441	0	1
"THOMAS"	"JEAN CLAUDE"	"RPR"	"51//3"	.5153559	1	0
"BOURG-BROC"	"BRUNO"	"RPR"	"51//4"	.5267809	1	1
"BERTHIOT"	"GERARD"	"SOC"	"51//4"	.4732191	1	1
"D'AUBERT"	"FRANCOIS"	"UDF"	"53//1"	.536377	1	1
"SORIN"	"MICHEL"	"PRG"	"53//1"	.463623	1	1
"GAROT"	"GEORGES"	"PRG"	"53//2"	.3764788	1	1
"DE GASTINES"	"HENRI"	"RPR"	"53//2"	.6235211	1	1
"ROSSINOT"	"ANDRE"	"UDF"	"54//1"	.4979389	1	1
"DENIS"	"JEAN JACQUES"	"SOC"	"54//1"	.5020611	1	1
"LEONARD"	"GERARD"	"RPR"	"54//2"	.4881691	1	1
"MANGIN"	"RENE"	"SOC"	"54//2"	.5118309	1	1
"GAILLARD"	"CLAUDE"	"UDF"	"54//3"	.5001771	1	0
"BARTHELEMY"	"CLAUDINE"	"SOC"	"54//3"	.4998229	0	1
"GUILLAUME"	"FRANCOIS"	"RPR"	"54//4"	.500094	1	1
"CLOSSE"	"MICHEL"	"SOC"	"54//4"	.499906	1	1
"GEOFFROY"	"ALOYS"	"UDF"	"54//5"	.4769607	1	0
"FEIDT"	"NICOLE"	"SOC"	"54//5"	.5230392	0	1
"VATTIER"	"GUY"	"UDF"	"54//6"	.3636985	1	1
"LE DEAUT"	"JEAN YVES"	"SOC"	"54//6"	.6363015	1	1
"DOSE"	"FRANCOIS"	"SOC"	"55//1"	.5280954	1	1
"LONGUET"	"GERARD"	"UDF"	"55//1"	.4719046	1	1
"LUX"	"ARSENE"	"RPR"	"55//2"	.447549	1	1
"DUMONT"	"JEAN LOUIS"	"SOC"	"55//2"	.552451	1	1
"GOULARD"	"FRANCOIS"	"UDF"	"56//1"	.5504297	1	0
"RAKOTONIRINA"	"MICHELINE"	"PRG"	"56//1"	.4495703	0	1
"KERGUERIS"	"ANDRE"	"UDF"	"56//2"	.5435268	1	1
"HAMON"	"BENOIT"	"SOC"	"56//2"	.4564732	1	1
"CAVAILLE"	"JEAN CHARLES"	"RPR"	"56//3"	.5493402	1	1
"LE ROCH"	"JEAN PIERRE"	"PRG"	"56//3"	.4506598	1	1
"BOUVARD"	"LOIC"	"UDF"	"56//4"	.5710346	1	1
"PABOEUF"	"PAUL"	"SOC"	"56//4"	.4289654	1	1
"GIQUEL"	"CATHERINE"	"RPR"	"56//5"	.4320662	0	1
"LE DRIAN"	"JEAN YVES"	"PRG"	"56//5"	.5679338	1	0
"MAURER"	"GILBERT"	"SOC"	"57//5"	.502709	1	1
"ROTH"	"HUBERT"	"RPR"	"57//5"	.497291	1	1
"MERTZ"	"BERTRAND"	"SOC"	"57//9"	.4787791	1	1
