* Dictionary *
election:	election number
id:		id, constant through session
subject:	subject #, changes across elections
round:	round within the election                  
prop1:	offer to subjects #1
prop2:	offer to subjects #2
prop3:	offer to subjects #3
prop4:	offer to subjects #4
prop5:	offer to subjects #5
prop6:	offer to subjects #6
vote1:	offer to subjects #1 in the selected offer (the proposal on the floor)
vote2:	offer to subjects #2 in the selected offer (the proposal on the floor)
vote3:	offer to subjects #3 in the selected offer (the proposal on the floor)
vote4:	offer to subjects #4 in the selected offer (the proposal on the floor)
vote5:	offer to subjects #5 in the selected offer (the proposal on the floor)
vote6:	offer to subjects #6 in the selected offer (the proposal on the floor)
vote:		= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
proposer:	id of the subject selected to be the proposer
session:	session #
open:		= 1 if the amendment rule is open, = 0 o/w
second:	= 1 if the subject votes to second the selected offer (the proposal on the floor), = 0 o/w
amend1:	offer to subjects #1 in the amendment
amend2:	offer to subjects #2 in the amendment
amend3:	offer to subjects #3 in the amendment
amend4:	offer to subjects #4 in the amendment
amend5:	offer to subjects #5 in the amendment
decider:	id of the subject selected to determine if there is an amendment
amflo1:	offer to subjects #1 in the selected amendment
amflo2:	offer to subjects #2 in the selected amendment
amflo3:	offer to subjects #3 in the selected amendment
amflo4:	offer to subjects #4 in the selected amendment
amflo5:	offer to subjects #5 in the selected amendment
runoff:	= 1 if the subject votes in favor of the original offer, = 0 o/w
computer:	= 1 if there is a confederate subject in the session playing a pre-determined strategy, 0 o/w
dropped:	identifies cases that were dropped from the analysis because there were problems when the forms were filled out which were not immediately caught by the experimenters (such as offers that summed to more than the available amount of money); = 1 if dropped, = 0 o/w
**************

election	id	subject	round	prop1	prop2	prop3	prop4	prop5	prop6	vote1	vote2	vote3	vote4	vote5	vote6	vote	proposer	session	open	second	amend1	amend2	amend3	amend4	amend5	decider	amflo1	amflo2	amflo3	amflo4	amflo5	runoff	computer	dropped
17	"C"	6	1	0	7	0	7		11	17	4	4	0		0	0	"D"	1	0							""							1	0
17	"D"	1	1	17	4	4	0		0	17	4	4	0		0	1	"D"	1	0							""							1	0
17	"E"	3	1	0	5	15	5		0	17	4	4	0		0	0	"D"	1	0							""							1	0
17	"F"	2	1	4	13	4	4		0	17	4	4	0		0	0	"D"	1	0							""							1	0
17	"A"	5	2	4	4	4	4		4	0	7	0	6		7	1	"C"	1	0							""							1	0
17	"B"	4	2	0	0	6	8		6	0	7	0	6		7	1	"C"	1	0							""							1	0
17	"C"	6	2	0	7	0	6		7	0	7	0	6		7	1	"C"	1	0							""							1	0
17	"D"	1	2	13.6	3.2	3.2	0		0	0	7	0	6		7	0	"C"	1	0							""							1	0
17	"E"	3	2	0	5	10	5		0	0	7	0	6		7	0	"C"	1	0							""							1	0
17	"F"	2	2	5	10	0	0		5	0	7	0	6		7	1	"C"	1	0							""							1	0
18	"A"	2	1	5		5	5	5	5	4		0	17	0	4	0	"D"	1	0							""							1	0
18	"B"	6	1	0		7	0	7	11	4		0	17	0	4	0	"D"	1	0							""							1	0
18	"C"	1	1	11		0	7	0	7	4		0	17	0	4	0	"D"	1	0							""							1	0
18	"D"	4	1	4		0	17	0	4	4		0	17	0	4	1	"D"	1	0							""							1	0
18	"E"	3	1	6		13	6	0	0	4		0	17	0	4	0	"D"	1	0							""							1	0
18	"F"	5	1	0		6	0	13	6	4		0	17	0	4	0	"D"	1	0							""							1	0
18	"A"	2	2	4		4	4	4	4	5		10	0	5	0	1	"E"	1	0							""							1	0
18	"B"	6	2	0		6	6	0	8	5		10	0	5	0	0	"E"	1	0							""							1	0
18	"C"	1	2	8		0	6	6	0	5		10	0	5	0	1	"E"	1	0							""							1	0
18	"D"	4	2	0		3.6	12.8	3.6	0	5		10	0	5	0	0	"E"	1	0							""							1	0
18	"E"	3	2	5		10	0	5	0	5		10	0	5	0	1	"E"	1	0							""							1	0
18	"F"	5	2	0		3	4	10	3	5		10	0	5	0	1	"E"	1	0							""							1	0
19	"A"	3	1	3	3	9	5		5	0	0	4.5	4.5		16	0	"D"	1	0							""							1	0
19	"B"	2	1	0	13	6	0		6	0	0	4.5	4.5		16	0	"D"	1	0							""							1	0
19	"C"	4	1	7	0	0	11		7	0	0	4.5	4.5		16	0	"D"	1	0							""							1	0
19	"D"	6	1	0	0	4.5	4.5		16	0	0	4.5	4.5		16	1	"D"	1	0							""							1	0
19	"E"	5	1	5	5	5	5		5	0	0	4.5	4.5		16	0	"D"	1	0							""							1	0
19	"F"	1	1	12	3	5	0		5	0	0	4.5	4.5		16	0	"D"	1	0							""							1	0
19	"A"	3	2	3	7	9	3		3	0	0	3.6	3.6		12.8	0	"D"	1	0							""							1	0
19	"B"	2	2	6	8	6	0		0	0	0	3.6	3.6		12.8	0	"D"	1	0							""							1	0
19	"C"	4	2	6	0	0	8		6	0	0	3.6	3.6		12.8	0	"D"	1	0							""							1	0
19	"D"	6	2	0	0	3.6	3.6		12.8	0	0	3.6	3.6		12.8	1	"D"	1	0							""							1	0
19	"E"	5	2	4	4	4	4		4	0	0	3.6	3.6		12.8	0	"D"	1	0							""							1	0
19	"F"	1	2	10	0	5	5		0	0	0	3.6	3.6		12.8	0	"D"	1	0							""							1	0
19	"A"	3	3	0	4	4	4		4	0	7	0	4.5		4.5	0	"B"	1	0							""							1	0
19	"B"	2	3	0	7	0	4.5		4.5	0	7	0	4.5		4.5	1	"B"	1	0							""							1	0
19	"C"	4	3	5	5	0	6		0	0	7	0	4.5		4.5	1	"B"	1	0							""							1	0
19	"D"	6	3	0	0	3.2	3.2		9.6	0	7	0	4.5		4.5	1	"B"	1	0							""							1	0
19	"E"	5	3	4	3	3	3		3	0	7	0	4.5		4.5	1	"B"	1	0							""							1	0
19	"F"	1	3	6	4	3	3		0	0	7	0	4.5		4.5	0	"B"	1	0							""							1	0
20	"A"	5	1	3	3	5		9	5	3	3	5		9	5	1	"A"	1	0							""							1	0
20	"B"	2	1	6	0	13		0	6	3	3	5		9	5	0	"A"	1	0							""							1	0
20	"C"	3	1	7	0	11		7	0	3	3	5		9	5	1	"A"	1	0							""							1	0
20	"D"	1	1	15	5	5		0	0	3	3	5		9	5	0	"A"	1	0							""							1	0
20	"E"	4	1	5	5	5		5	5	3	3	5		9	5	1	"A"	1	0							""							1	0
20	"F"	6	1	0	4	4		4	13	3	3	5		9	5	1	"A"	1	0							""							1	0
21	"A"	3	1		0	10	7	4	4		0	10	7	4	4	1	"A"	1	0							""							1	0
21	"B"	4	1		6	0	13	0	6		0	10	7	4	4	1	"A"	1	0							""							1	0
21	"C"	1	1		0	0	0	0	0		0	10	7	4	4		"A"	1	0							""							1	0
21	"D"	2	1		15	5	5	0	0		0	10	7	4	4	0	"A"	1	0							""							1	0
21	"E"	5	1		0	0	6	13	6		0	10	7	4	4	1	"A"	1	0							""							1	0
21	"F"	6	1		1	0	6	6	12		0	10	7	4	4	0	"A"	1	0							""							1	0
22	"A"	6	1	4	5	4		3	9	4	5	4		3	9	1	"A"	1	0							""							1	0
