* Dictionary *
score2007:		percentage of votes in the second round of the 2007 elections
score1992:		percentage of votes in the second round of the 2002 elections by the candidate of the same party
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
status:		= "N" if candidate is new; = "I" if candidate is an incumbent; = "L" if candidate was a candidate in 1997 who lost; = "M" if candidate was an incumbent in a different district in 1997
status_opp:		= status of opponent
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

score2002	score1997	male	male_opp	district	age	age_opp	last_name	first_name	status	status_opp	party	expenditures	party_support
.4924	.5325	1	1	"27//2"	57.28	63.7	"Recours"	"Alfred"	"I"	"L"	"PS/G"	36085	1305
.5076	.4675	1	1	"27//2"	63.7	57.28	"Nicolas"	"Jean-Pierre"	"L"	"I"	"UMP/D"	29607	10000
.5362	.4428	1	1	"27//4"	60.69	36.35	"Loncle"	"François"	"I"	"N"	"PS/G"	23377	0
.4638	.4088	1	1	"27//4"	36.35	60.69	"Reboli"	"Eric"	"N"	"I"	"UMP/D"	21172	10000
.4703	.4301	0	1	"27//5"	49.87	51.66	"Picard"	"Catherine"	"I"	"N"	"PS/G"	28508	0
.5297	.4028	1	0	"27//5"	51.66	49.87	"Gilard"	"Franck"	"N"	"I"	"UMP/D"	19754	10000
.4569	.5082	1	1	"28//1"	68.04	48.9	"Lemoine"	"Georges"	"I"	"N"	"PS/G"	33058	0
.5431	.4918	1	1	"28//1"	48.9	68.04	"Georges"	"Jean-Pierre"	"N"	"I"	"UMP/D"	54197	17622
.4151	.5247	0	1	"28//4"	46.61	55.84	"Aubert"	"Marie-Hélène"	"I"	"N"	"Verts/G/ps"	32562	0
.5849	.4753	1	0	"28//4"	55.84	46.61	"Venot"	"Alain"	"N"	"I"	"UMP/D"	28953	10166
.519	.5294	0	1	"29//1"	53.02	47.89	"Ramonet"	"Marcelle"	"M"	"N"	"UMP/D"	36380	25240
.481	.4706	1	0	"29//1"	47.89	53.02	"Le Bigot"	"Daniel"	"N"	"M"	"Verts/G"	29535	0
.4729	.4501	0	0	"29//2"	55.21	49.2	"Péron"	"Claudine"	"N"	"N"	"UMP/D"	46650	17622
.5271	.5499	0	0	"29//2"	49.2	55.21	"Adam"	"Patricia"	"N"	"N"	"PS/G"	33475	1500
.4816	.5031	1	0	"29//3"	47.39	46.04	"Cuillandre"	"François"	"I"	"L"	"PS/G"	40237	0
.5184	.4969	0	1	"29//3"	46.04	47.39	"Lamour"	"Marguerite"	"L"	"I"	"UMP/D"	39216	10000
.5292	.5265	0	1	"29//4"	55.18	53.16	"Lebranchu"	"Marylise"	"I"	"N"	"PS/G"	20517	0
.4708	.4735	1	0	"29//4"	53.16	55.18	"Caroff"	"Gilles"	"N"	"I"	"UMP/D"	40178	0
.4986	.5375	1	1	"29//6"	56.72	56.23	"Yamgnane"	"Kofi"	"I"	"N"	"PS/G"	37846	0
.5014	.4625	1	1	"29//6"	56.23	56.72	"Menard"	"Christian"	"N"	"I"	"UMP/D"	32478	10000
.467	.5012	0	0	"29//7"	53.75	53.01	"Lazard"	"Jacqueline"	"I"	"N"	"PS/G"	27742	0
.533	.4988	0	0	"29//7"	53.01	53.75	"Tanguy"	"Hélène"	"N"	"I"	"UMP/D"	42548	10000
.5097	.5921	1	0	"29//8"	53.32	46.99	"Le Bris"	"Gilbert"	"M"	"N"	"PS/G"	26760	0
.4903	.4079	0	1	"29//8"	46.99	53.32	"Triche"	"Jeanne Yvonne"	"N"	"M"	"UMP/D"	24861	0
.4988	.5435	1	1	"3//1"	64.83	55.17	"Colcombet"	"François"	"I"	"L"	"PS/G"	34125	0
.5012	.4565	1	1	"3//1"	55.17	64.83	"Perissol"	"Pierre-André"	"L"	"I"	"UMP"	36160	20147
.5177	.5575	1	1	"3//4"	58.26	52.31	"Charasse"	"Gérard"	"I"	"L"	"PRG/G/PS"	43110	0
.4823	.4425	1	1	"3//4"	52.31	58.26	"Malhuret"	"Claude"	"L"	"I"	"UMP"	43293	1500
.5546	.5941	1	0	"30//5"	51.45	55.15	"Alary"	"Damien"	"I"	"N"	"PS/G"	22175	0
.4454	.4059	0	1	"30//5"	55.15	51.45	"Fournier"	"Ariane"	"N"	"I"	"UMP/D"	33549	10000
