* Dictionary *
round:                    round # [1:6]
payoff:                   payoff in that round (realization of the lottery given the choice or payoff to adviser if advisee follows advice)
preference_0:             priority given to knowing The prob of the outcome being lower than 4 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_1:             priority given to knowing The prob of the outcome being greater than 16 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_2:             priority given to knowing The prob of the outcome being b/w 8 and 12 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
numadvice:                number of pieces of advice deciders were shown [1:3]; set to missing for treatments ~= 3
advice_X:                 identifier (corresponding to reasons) of the piece of advice given in position X <= numadvice (see reasonno below); set to missing for treatments ~= 3
dist_left:                which distribution is on the left [0:4]
dist_right:               which distribution is on the right [0:5]
choice:                   = 1 if choose right distribution; = 0 if choose left distribution; set to missing for adviser
date:                     date of session (different sessions on same day are differentiated by decimals)
treatment:                = 1 for advice; = 2 for control - no advice; = 3 for priority
profit:                   payoff from first part -- survey and Holt-Laury (excluding show-up fee: $15)
female:                   = 1 if female; = 0 if male
age:                      age of subject
sn, se, so, sa, sc:       scores on the big 5 scales, respectively Neuroticism, Extraversion, Openness to Experience, Agreeableness, and Conscientiousness
snp, sep, sop, sap, scp:  percentalies scores associated to sn, se, so, sa, sc using population percentile scores and adjusted for age and gender
rs:                       score on the sensation seeking scale
rstas, rses, rsdis, rsbd: subscales of rs, respectively Thrill and adventure seeking, Experience seeking, Disinhibition, and Boredom susceptibility
group:                    unique identifier for people matched together
id:                       unique subject identifier
adviser:                  = 1 if subject is an advisor; 0 o/w
reasonno:                 identifies the reason used by the advisor, i.e.
                          = 0 for "The prob of the outcome being lower than 4 is..."
                          = 1 for "The prob of the outcome being greater than 16 is..."
                          = 2 for "The prob of the outcome being b/w 8 and 12 is..."
reason_used:              reason number given to decider [0:2]; set to missing if adviser == 1 | treatment > 1
a:                        = advice but on the decider row; set to missing if adviser == 1 | treatment ~= 1
follow:                   = 1 if decision = advice and 0 o/w; set to missing for treatments ~= 1
advice:                   = 1 if advice is for the right; = 0 if advice if for the left; set to missing for decider
ra:                       = sum of number of safe decisions; set to missing if took safe decision, then risky, then safe again
high_var:                 = 1 if subject selected the option with highest variance; = 0  if subject selected the option with lowest variance; set to missing for advisor.
crra:                     = coefficient of constant relative risk aversion consistent with choices in the Holt-Laury lottery; set to missing if switch at first or last choice.
**************
round	payoff	preference_0	preference_1	preference_2	numadvice	advice_0	advice_1	advice_2	dist_left	dist_right	choice	date	treatment	profit	female	age	sn	se	so	sa	sc	snp	sep	sop	sap	scp	rs	rstas	rses	rsdis	rsbd	group	id	adviser	reasonno	reason_used	a	follow	advice	ra	high_var	crra
5	0								1	2	1	52908.1	2	1.6	0	20	63.367	43.03839	37.89005	45.92087	43.33333	91	26	11	35	27	20	7	4	6	3	36	96	0						6	1	.545
6	0								0	3	0	52908.1	2	1.6	0	20	63.367	43.03839	37.89005	45.92087	43.33333	91	26	11	35	27	20	7	4	6	3	36	96	0						6	0	.545
1	0								0	2	0	52908.1	2	2	0	20	44.41567	50.84581	54.86661	51.3779	61.96687	30	53	67	54	87	27	10	6	6	5	37	98	0						4	0	.005
2	0								2	3	1	52908.1	2	2	0	20	44.41567	50.84581	54.86661	51.3779	61.96687	30	53	67	54	87	27	10	6	6	5	37	98	0						4	1	.005
3	0								0	1	0	52908.1	2	2	0	20	44.41567	50.84581	54.86661	51.3779	61.96687	30	53	67	54	87	27	10	6	6	5	37	98	0						4	0	.005
4	0								0	3	1	52908.1	2	2	0	20	44.41567	50.84581	54.86661	51.3779	61.96687	30	53	67	54	87	27	10	6	6	5	37	98	0						4	1	.005
5	20								1	3	1	52908.1	2	2	0	20	44.41567	50.84581	54.86661	51.3779	61.96687	30	53	67	54	87	27	10	6	6	5	37	98	0						4	1	.005
6	0								1	2	1	52908.1	2	2	0	20	44.41567	50.84581	54.86661	51.3779	61.96687	30	53	67	54	87	27	10	6	6	5	37	98	0						4	1	.005
1	0								2	3	0	52908.1	2	2	0	23	56.08617	57.95529	53.5494	52.12214	48.24807	71	76	62	57	43	13	7	2	1	3	38	89	0						4	0	.005
2	0								0	3	0	52908.1	2	2	0	23	56.08617	57.95529	53.5494	52.12214	48.24807	71	76	62	57	43	13	7	2	1	3	38	89	0						4	0	.005
3	0								1	2	1	52908.1	2	2	0	23	56.08617	57.95529	53.5494	52.12214	48.24807	71	76	62	57	43	13	7	2	1	3	38	89	0						4	1	.005
4	11								0	2	0	52908.1	2	2	0	23	56.08617	57.95529	53.5494	52.12214	48.24807	71	76	62	57	43	13	7	2	1	3	38	89	0						4	0	.005
5	0								0	1	0	52908.1	2	2	0	23	56.08617	57.95529	53.5494	52.12214	48.24807	71	76	62	57	43	13	7	2	1	3	38	89	0						4	0	.005
6	0								1	3	0	52908.1	2	2	0	23	56.08617	57.95529	53.5494	52.12214	48.24807	71	76	62	57	43	13	7	2	1	3	38	89	0						4	0	.005
1	0								0	3	0	52908.1	2	.1	0	20	51.3645	56.05075	52.44139	52.74215	49.54451	54	70	58	59	48	27	10	8	4	5	39	92	0						4	0	.005
2	0								0	1	1	52908.1	2	.1	0	20	51.3645	56.05075	52.44139	52.74215	49.54451	54	70	58	59	48	27	10	8	4	5	39	92	0						4	1	.005
3	0								0	2	1	52908.1	2	.1	0	20	51.3645	56.05075	52.44139	52.74215	49.54451	54	70	58	59	48	27	10	8	4	5	39	92	0						4	1	.005
4	15								1	2	0	52908.1	2	.1	0	20	51.3645	56.05075	52.44139	52.74215	49.54451	54	70	58	59	48	27	10	8	4	5	39	92	0						4	0	.005
5	0								1	3	1	52908.1	2	.1	0	20	51.3645	56.05075	52.44139	52.74215	49.54451	54	70	58	59	48	27	10	8	4	5	39	92	0						4	1	.005
6	0								2	3	0	52908.1	2	.1	0	20	51.3645	56.05075	52.44139	52.74215	49.54451	54	70	58	59	48	27	10	8	4	5	39	92	0						4	0	.005
1	0								1	2	1	52908.1	2	3.9	0	22	50.625	39.54635	56.71146	48.30534	50.35038	52	15	73	43	51	21	8	6	6	1	40	81	0						5	1	.28
2	0								0	3	0	52908.1	2	3.9	0	22	50.625	39.54635	56.71146	48.30534	50.35038	52	15	73	43	51	21	8	6	6	1	40	81	0						5	0	.28
3	0								1	3	1	52908.1	2	3.9	0	22	50.625	39.54635	56.71146	48.30534	50.35038	52	15	73	43	51	21	8	6	6	1	40	81	0						5	1	.28
4	0								0	1	0	52908.1	2	3.9	0	22	50.625	39.54635	56.71146	48.30534	50.35038	52	15	73	43	51	21	8	6	6	1	40	81	0						5	0	.28
5	0								0	2	0	52908.1	2	3.9	0	22	50.625	39.54635	56.71146	48.30534	50.35038	52	15	73	43	51	21	8	6	6	1	40	81	0						5	0	.28
6	20								2	3	1	52908.1	2	3.9	0	22	50.625	39.54635	56.71146	48.30534	50.35038	52	15	73	43	51	21	8	6	6	1	40	81	0						5	1	.28
1	0								1	2	1	52908.1	2	1.6	0	26	56.693	44.14859	55.921	36.0916	55.95655	73	29	70	7	70	22	8	6	3	5	41	90	0						5	1	.28
2	0								2	3	0	52908.1	2	1.6	0	26	56.693	44.14859	55.921	36.0916	55.95655	73	29	70	7	70	22	8	6	3	5	41	90	0						5	0	.28
3	0								0	1	1	52908.1	2	1.6	0	26	56.693	44.14859	55.921	36.0916	55.95655	73	29	70	7	70	22	8	6	3	5	41	90	0						5	1	.28
4	8								0	2	0	52908.1	2	1.6	0	26	56.693	44.14859	55.921	36.0916	55.95655	73	29	70	7	70	22	8	6	3	5	41	90	0						5	0	.28
5	0								0	3	0	52908.1	2	1.6	0	26	56.693	44.14859	55.921	36.0916	55.95655	73	29	70	7	70	22	8	6	3	5	41	90	0						5	0	.28
6	0								1	3	0	52908.1	2	1.6	0	26	56.693	44.14859	55.921	36.0916	55.95655	73	29	70	7	70	22	8	6	3	5	41	90	0						5	0	.28
1	0								0	3	0	52908.1	2	1.6	0	20	50.10108	57.352	44.35732	48.64938	50.23464	50	75	30	45	50	28	8	7	9	4	42	82	0						5	0	.28
2	18								1	2	1	52908.1	2	1.6	0	20	50.10108	57.352	44.35732	48.64938	50.23464	50	75	30	45	50	28	8	7	9	4	42	82	0						5	1	.28
3	0								2	3	1	52908.1	2	1.6	0	20	50.10108	57.352	44.35732	48.64938	50.23464	50	75	30	45	50	28	8	7	9	4	42	82	0						5	1	.28
4	0								0	2	0	52908.1	2	1.6	0	20	50.10108	57.352	44.35732	48.64938	50.23464	50	75	30	45	50	28	8	7	9	4	42	82	0						5	0	.28
5	0								1	3	0	52908.1	2	1.6	0	20	50.10108	57.352	44.35732	48.64938	50.23464	50	75	30	45	50	28	8	7	9	4	42	82	0						5	0	.28
6	0								0	1	0	52908.1	2	1.6	0	20	50.10108	57.352	44.35732	48.64938	50.23464	50	75	30	45	50	28	8	7	9	4	42	82	0						5	0	.28
1	0								0	2	0	52908.1	2	1.6	0	21	45.16383	50.72321	50.38735	46.77863	48.94884	33	52	51	38	46	26	9	6	4	7	43	87	0						4	0	.005
2	0								1	3	0	52908.1	2	1.6	0	21	45.16383	50.72321	50.38735	46.77863	48.94884	33	52	51	38	46	26	9	6	4	7	43	87	0						4	0	.005
3	0								0	1	1	52908.1	2	1.6	0	21	45.16383	50.72321	50.38735	46.77863	48.94884	33	52	51	38	46	26	9	6	4	7	43	87	0						4	1	.005
4	0								1	2	0	52908.1	2	1.6	0	21	45.16383	50.72321	50.38735	46.77863	48.94884	33	52	51	38	46	26	9	6	4	7	43	87	0						4	0	.005
5	0								0	3	1	52908.1	2	1.6	0	21	45.16383	50.72321	50.38735	46.77863	48.94884	33	52	51	38	46	26	9	6	4	7	43	87	0						4	1	.005
6	5								2	3	0	52908.1	2	1.6	0	21	45.16383	50.72321	50.38735	46.77863	48.94884	33	52	51	38	46	26	9	6	4	7	43	87	0						4	0	.005
1	0								0	3	0	52908.1	2	.1	1	21	66.00248	48.10109	63.786	59.73661	58.24081	95	43	91	82	77	21	8	8	3	2	44	99	0						4	0	.005
2	0								1	3	0	52908.1	2	.1	1	21	66.00248	48.10109	63.786	59.73661	58.24081	95	43	91	82	77	21	8	8	3	2	44	99	0						4	0	.005
3	5								1	2	1	52908.1	2	.1	1	21	66.00248	48.10109	63.786	59.73661	58.24081	95	43	91	82	77	21	8	8	3	2	44	99	0						4	1	.005
4	0								0	2	0	52908.1	2	.1	1	21	66.00248	48.10109	63.786	59.73661	58.24081	95	43	91	82	77	21	8	8	3	2	44	99	0						4	0	.005
5	0								0	1	1	52908.1	2	.1	1	21	66.00248	48.10109	63.786	59.73661	58.24081	95	43	91	82	77	21	8	8	3	2	44	99	0						4	1	.005
6	0								2	3	0	52908.1	2	.1	1	21	66.00248	48.10109	63.786	59.73661	58.24081	95	43	91	82	77	21	8	8	3	2	44	99	0						4	0	.005
1	0								0	1	1	52908.1	2	1.6	1	18	47.8155	39.14553	54.21452	55.95	50.50765	42	14	64	70	51	10	3	4	1	2	45	94	0						6	1	.545
2	0								1	2	1	52908.1	2	1.6	1	18	47.8155	39.14553	54.21452	55.95	50.50765	42	14	64	70	51	10	3	4	1	2	45	94	0						6	1	.545
3	0								2	3	0	52908.1	2	1.6	1	18	47.8155	39.14553	54.21452	55.95	50.50765	42	14	64	70	51	10	3	4	1	2	45	94	0						6	0	.545
4	19								1	3	0	52908.1	2	1.6	1	18	47.8155	39.14553	54.21452	55.95	50.50765	42	14	64	70	51	10	3	4	1	2	45	94	0						6	0	.545
5	0								0	3	0	52908.1	2	1.6	1	18	47.8155	39.14553	54.21452	55.95	50.50765	42	14	64	70	51	10	3	4	1	2	45	94	0						6	0	.545
6	0								0	2	1	52908.1	2	1.6	1	18	47.8155	39.14553	54.21452	55.95	50.50765	42	14	64	70	51	10	3	4	1	2	45	94	0						6	1	.545
1	0								1	3	1	52908.1	2	3.9	1	21	49.29456	51.5164	42.38683	28.12994	37.33237	47	55	24	0	10	29	10	8	6	5	46	93	0						6	1	.545
2	0								0	3	0	52908.1	2	3.9	1	21	49.29456	51.5164	42.38683	28.12994	37.33237	47	55	24	0	10	29	10	8	6	5	46	93	0						6	0	.545
3	0								2	3	0	52908.1	2	3.9	1	21	49.29456	51.5164	42.38683	28.12994	37.33237	47	55	24	0	10	29	10	8	6	5	46	93	0						6	0	.545
4	0								0	2	0	52908.1	2	3.9	1	21	49.29456	51.5164	42.38683	28.12994	37.33237	47	55	24	0	10	29	10	8	6	5	46	93	0						6	0	.545
5	0								0	1	1	52908.1	2	3.9	1	21	49.29456	51.5164	42.38683	28.12994	37.33237	47	55	24	0	10	29	10	8	6	5	46	93	0						6	1	.545
6	0								1	2	1	52908.1	2	3.9	1	21	49.29456	51.5164	42.38683	28.12994	37.33237	47	55	24	0	10	29	10	8	6	5	46	93	0						6	1	.545
1	0								2	3	0	52908.1	2	2	0	21	50.625	54.01052	51.17786	39.9084	56.65732	52	64	54	16	72	27	7	9	6	5	47	95	0						4	0	.005
2	0								0	1	0	52908.1	2	2	0	21	50.625	54.01052	51.17786	39.9084	56.65732	52	64	54	16	72	27	7	9	6	5	47	95	0						4	0	.005
3	0								1	3	1	52908.1	2	2	0	21	50.625	54.01052	51.17786	39.9084	56.65732	52	64	54	16	72	27	7	9	6	5	47	95	0						4	1	.005
4	0								1	2	1	52908.1	2	2	0	21	50.625	54.01052	51.17786	39.9084	56.65732	52	64	54	16	72	27	7	9	6	5	47	95	0						4	1	.005
5	0								0	2	0	52908.1	2	2	0	21	50.625	54.01052	51.17786	39.9084	56.65732	52	64	54	16	72	27	7	9	6	5	47	95	0						4	0	.005
6	10								0	3	0	52908.1	2	2	0	21	50.625	54.01052	51.17786	39.9084	56.65732	52	64	54	16	72	27	7	9	6	5	47	95	0						4	0	.005
1	0								0	1	1	52908.1	2	1.6	0	20	47.57423	59.30384	54.86661	65.02046	64.03726	41	80	67	94	92	26	6	7	6	7	48	91	0						3	1	-.315
2	0								1	2	1	52908.1	2	1.6	0	20	47.57423	59.30384	54.86661	65.02046	64.03726	41	80	67	94	92	26	6	7	6	7	48	91	0						3	1	-.315
3	11								0	3	0	52908.1	2	1.6	0	20	47.57423	59.30384	54.86661	65.02046	64.03726	41	80	67	94	92	26	6	7	6	7	48	91	0						3	0	-.315
4	0								1	3	0	52908.1	2	1.6	0	20	47.57423	59.30384	54.86661	65.02046	64.03726	41	80	67	94	92	26	6	7	6	7	48	91	0						3	0	-.315
5	0								2	3	0	52908.1	2	1.6	0	20	47.57423	59.30384	54.86661	65.02046	64.03726	41	80	67	94	92	26	6	7	6	7	48	91	0						3	0	-.315
6	0								0	2	0	52908.1	2	1.6	0	20	47.57423	59.30384	54.86661	65.02046	64.03726	41	80	67	94	92	26	6	7	6	7	48	91	0						3	0	-.315
1	0								1	2	1	52908.1	2	3.9	0	20	60.84018	47.59272	40.31528	30.23192	44.71359	85	41	17	0	31	16	5	5	5	1	49	86	0						3	1	-.315
2	0								0	3	0	52908.1	2	3.9	0	20	60.84018	47.59272	40.31528	30.23192	44.71359	85	41	17	0	31	16	5	5	5	1	49	86	0						3	0	-.315
3	0								2	3	1	52908.1	2	3.9	0	20	60.84018	47.59272	40.31528	30.23192	44.71359	85	41	17	0	31	16	5	5	5	1	49	86	0						3	1	-.315
4	0								0	1	0	52908.1	2	3.9	0	20	60.84018	47.59272	40.31528	30.23192	44.71359	85	41	17	0	31	16	5	5	5	1	49	86	0						3	0	-.315
5	0								0	2	0	52908.1	2	3.9	0	20	60.84018	47.59272	40.31528	30.23192	44.71359	85	41	17	0	31	16	5	5	5	1	49	86	0						3	0	-.315
6	8								1	3	0	52908.1	2	3.9	0	20	60.84018	47.59272	40.31528	30.23192	44.71359	85	41	17	0	31	16	5	5	5	1	49	86	0						3	0	-.315
1	0								1	3	0	52908.2	2	3.9	1	19	42.05	48.49132	47.45777	43.081	50.50765	23	44	40	26	51	27	9	9	6	3	50	113	0						6	0	.545
2	0								1	2	0	52908.2	2	3.9	1	19	42.05	48.49132	47.45777	43.081	50.50765	23	44	40	26	51	27	9	9	6	3	50	113	0						6	0	.545
3	0								0	2	0	52908.2	2	3.9	1	19	42.05	48.49132	47.45777	43.081	50.50765	23	44	40	26	51	27	9	9	6	3	50	113	0						6	0	.545
4	0								2	3	0	52908.2	2	3.9	1	19	42.05	48.49132	47.45777	43.081	50.50765	23	44	40	26	51	27	9	9	6	3	50	113	0						6	0	.545
5	0								0	1	0	52908.2	2	3.9	1	19	42.05	48.49132	47.45777	43.081	50.50765	23	44	40	26	51	27	9	9	6	3	50	113	0						6	0	.545
6	13								0	3	0	52908.2	2	3.9	1	19	42.05	48.49132	47.45777	43.081	50.50765	23	44	40	26	51	27	9	9	6	3	50	113	0						6	0	.545
1	0								1	3	1	52908.2	2	3.9	0	21	50.625	46.121	50.38735	51.35878	59.46041	52	36	51	54	81	16	7	3	2	4	51	100	0						6	1	.545
2	0								2	3	0	52908.2	2	3.9	0	21	50.625	46.121	50.38735	51.35878	59.46041	52	36	51	54	81	16	7	3	2	4	51	100	0						6	0	.545
3	15								0	1	1	52908.2	2	3.9	0	21	50.625	46.121	50.38735	51.35878	59.46041	52	36	51	54	81	16	7	3	2	4	51	100	0						6	1	.545
4	0								0	3	0	52908.2	2	3.9	0	21	50.625	46.121	50.38735	51.35878	59.46041	52	36	51	54	81	16	7	3	2	4	51	100	0						6	0	.545
5	0								0	2	1	52908.2	2	3.9	0	21	50.625	46.121	50.38735	51.35878	59.46041	52	36	51	54	81	16	7	3	2	4	51	100	0						6	1	.545
6	0								1	2	1	52908.2	2	3.9	0	21	50.625	46.121	50.38735	51.35878	59.46041	52	36	51	54	81	16	7	3	2	4	51	100	0						6	1	.545
1	0								0	1	1	52908.2	2	2	0	23	52.44539	44.80605	33.78656	42.96183	36.335	58	31	3	25	8	22	10	5	4	3	52	108	0						6	1	.545
2	0								0	3	0	52908.2	2	2	0	23	52.44539	44.80605	33.78656	42.96183	36.335	58	31	3	25	8	22	10	5	4	3	52	108	0						6	0	.545
3	0								0	2	1	52908.2	2	2	0	23	52.44539	44.80605	33.78656	42.96183	36.335	58	31	3	25	8	22	10	5	4	3	52	108	0						6	1	.545
4	16								2	3	0	52908.2	2	2	0	23	52.44539	44.80605	33.78656	42.96183	36.335	58	31	3	25	8	22	10	5	4	3	52	108	0						6	0	.545
5	0								1	3	0	52908.2	2	2	0	23	52.44539	44.80605	33.78656	42.96183	36.335	58	31	3	25	8	22	10	5	4	3	52	108	0						6	0	.545
6	0								1	2	1	52908.2	2	2	0	23	52.44539	44.80605	33.78656	42.96183	36.335	58	31	3	25	8	22	10	5	4	3	52	108	0						6	1	.545
1	0								1	2	1	52908.2	2	1.6	0	19	50.10108	56.05075	63.75909	44.55661	61.96687	50	70	91	31	87	27	4	9	8	6	53	118	0						4	1	.005
2	0								2	3	1	52908.2	2	1.6	0	19	50.10108	56.05075	63.75909	44.55661	61.96687	50	70	91	31	87	27	4	9	8	6	53	118	0						4	1	.005
3	0								0	2	0	52908.2	2	1.6	0	19	50.10108	56.05075	63.75909	44.55661	61.96687	50	70	91	31	87	27	4	9	8	6	53	118	0						4	0	.005
4	0								0	1	0	52908.2	2	1.6	0	19	50.10108	56.05075	63.75909	44.55661	61.96687	50	70	91	31	87	27	4	9	8	6	53	118	0						4	0	.005
5	0								1	3	1	52908.2	2	1.6	0	19	50.10108	56.05075	63.75909	44.55661	61.96687	50	70	91	31	87	27	4	9	8	6	53	118	0						4	1	.005
6	0								0	3	0	52908.2	2	1.6	0	19	50.10108	56.05075	63.75909	44.55661	61.96687	50	70	91	31	87	27	4	9	8	6	53	118	0						4	0	.005
1	0								0	3	0	52908.2	2	2	1	22	40.63119	41.27049	49.79424	57.98068	56.79885	18	20	49	77	73	24	8	7	6	3	54	117	0						8	0	1.17
2	12								2	3	0	52908.2	2	2	1	22	40.63119	41.27049	49.79424	57.98068	56.79885	18	20	49	77	73	24	8	7	6	3	54	117	0						8	0	1.17
3	0								0	1	1	52908.2	2	2	1	22	40.63119	41.27049	49.79424	57.98068	56.79885	18	20	49	77	73	24	8	7	6	3	54	117	0						8	1	1.17
4	0								1	3	0	52908.2	2	2	1	22	40.63119	41.27049	49.79424	57.98068	56.79885	18	20	49	77	73	24	8	7	6	3	54	117	0						8	0	1.17
5	0								0	2	0	52908.2	2	2	1	22	40.63119	41.27049	49.79424	57.98068	56.79885	18	20	49	77	73	24	8	7	6	3	54	117	0						8	0	1.17
6	0								1	2	0	52908.2	2	2	1	22	40.63119	41.27049	49.79424	57.98068	56.79885	18	20	49	77	73	24	8	7	6	3	54	117	0						8	0	1.17
1	0								0	1	0	52908.2	2	.1	0	20	41.25711	59.95446	62.95068	64.33833	63.34713	20	82	90	93	91	25	10	7	5	3	55	114	0						3	0	-.315
2	0								2	3	1	52908.2	2	.1	0	20	41.25711	59.95446	62.95068	64.33833	63.34713	20	82	90	93	91	25	10	7	5	3	55	114	0						3	1	-.315
3	0								1	2	0	52908.2	2	.1	0	20	41.25711	59.95446	62.95068	64.33833	63.34713	20	82	90	93	91	25	10	7	5	3	55	114	0						3	0	-.315
4	0								0	2	0	52908.2	2	.1	0	20	41.25711	59.95446	62.95068	64.33833	63.34713	20	82	90	93	91	25	10	7	5	3	55	114	0						3	0	-.315
5	20								0	3	1	52908.2	2	.1	0	20	41.25711	59.95446	62.95068	64.33833	63.34713	20	82	90	93	91	25	10	7	5	3	55	114	0						3	1	-.315
6	0								1	3	0	52908.2	2	.1	0	20	41.25711	59.95446	62.95068	64.33833	63.34713	20	82	90	93	91	25	10	7	5	3	55	114	0						3	0	-.315
1	0								2	3	0	52908.2	2	1.6	0	25	39.09587	48.09336	40.90118	55.17557	61.56272	14	43	19	68	86	18	9	4	2	3	56	107	0						3	0	-.315
2	0								0	2	1	52908.2	2	1.6	0	25	39.09587	48.09336	40.90118	55.17557	61.56272	14	43	19	68	86	18	9	4	2	3	56	107	0						3	1	-.315
3	14								0	1	0	52908.2	2	1.6	0	25	39.09587	48.09336	40.90118	55.17557	61.56272	14	43	19	68	86	18	9	4	2	3	56	107	0						3	0	-.315
4	0								1	2	1	52908.2	2	1.6	0	25	39.09587	48.09336	40.90118	55.17557	61.56272	14	43	19	68	86	18	9	4	2	3	56	107	0						3	1	-.315
5	0								0	3	0	52908.2	2	1.6	0	25	39.09587	48.09336	40.90118	55.17557	61.56272	14	43	19	68	86	18	9	4	2	3	56	107	0						3	0	-.315
6	0								1	3	1	52908.2	2	1.6	0	25	39.09587	48.09336	40.90118	55.17557	61.56272	14	43	19	68	86	18	9	4	2	3	56	107	0						3	1	-.315
1	0								0	3	0	52908.2	2	1.6	1	18	45.89365	45.82109	62.66047	44.595	58.85257	35	35	89	31	79	21	4	8	2	7	57	120	0						4	0	.005
2	14								2	3	0	52908.2	2	1.6	1	18	45.89365	45.82109	62.66047	44.595	58.85257	35	35	89	31	79	21	4	8	2	7	57	120	0						4	0	.005
3	0								1	2	1	52908.2	2	1.6	1	18	45.89365	45.82109	62.66047	44.595	58.85257	35	35	89	31	79	21	4	8	2	7	57	120	0						4	1	.005
4	0								0	1	0	52908.2	2	1.6	1	18	45.89365	45.82109	62.66047	44.595	58.85257	35	35	89	31	79	21	4	8	2	7	57	120	0						4	0	.005
5	0								1	3	1	52908.2	2	1.6	1	18	45.89365	45.82109	62.66047	44.595	58.85257	35	35	89	31	79	21	4	8	2	7	57	120	0						4	1	.005
6	0								0	2	0	52908.2	2	1.6	1	18	45.89365	45.82109	62.66047	44.595	58.85257	35	35	89	31	79	21	4	8	2	7	57	120	0						4	0	.005
1	0								0	2	1	52908.2	2	3.9	1	19	47.17488	50.494	48.30236	59.735	44.94437	40	51	43	82	32	23	10	9	4	0	58	111	0						6	1	.545
2	0								0	1	1	52908.2	2	3.9	1	19	47.17488	50.494	48.30236	59.735	44.94437	40	51	43	82	32	23	10	9	4	0	58	111	0						6	1	.545
3	0								1	2	1	52908.2	2	3.9	1	19	47.17488	50.494	48.30236	59.735	44.94437	40	51	43	82	32	23	10	9	4	0	58	111	0						6	1	.545
4	0								0	3	0	52908.2	2	3.9	1	19	47.17488	50.494	48.30236	59.735	44.94437	40	51	43	82	32	23	10	9	4	0	58	111	0						6	0	.545
5	19								2	3	1	52908.2	2	3.9	1	19	47.17488	50.494	48.30236	59.735	44.94437	40	51	43	82	32	23	10	9	4	0	58	111	0						6	1	.545
6	0								1	3	0	52908.2	2	3.9	1	19	47.17488	50.494	48.30236	59.735	44.94437	40	51	43	82	32	23	10	9	4	0	58	111	0						6	0	.545
1	0								1	2	0	52908.2	2	1.6	1	20	52.2998	43.81842	56.74831	50.651	53.9847	58	28	73	52	64	14	5	5	1	3	59	106	0						6	0	.545
2	0								0	2	0	52908.2	2	1.6	1	20	52.2998	43.81842	56.74831	50.651	53.9847	58	28	73	52	64	14	5	5	1	3	59	106	0						6	0	.545
3	0								0	1	0	52908.2	2	1.6	1	20	52.2998	43.81842	56.74831	50.651	53.9847	58	28	73	52	64	14	5	5	1	3	59	106	0						6	0	.545
4	9								0	3	0	52908.2	2	1.6	1	20	52.2998	43.81842	56.74831	50.651	53.9847	58	28	73	52	64	14	5	5	1	3	59	106	0						6	0	.545
5	0								2	3	0	52908.2	2	1.6	1	20	52.2998	43.81842	56.74831	50.651	53.9847	58	28	73	52	64	14	5	5	1	3	59	106	0						6	0	.545
6	0								1	3	0	52908.2	2	1.6	1	20	52.2998	43.81842	56.74831	50.651	53.9847	58	28	73	52	64	14	5	5	1	3	59	106	0						6	0	.545
1	4								1	3	0	52908.2	2	1.6	0	20	51.3645	56.70137	67.80113	54.10641	66.79779	54	73	98	64	96	27	5	10	6	6	60	121	0						4	0	.005
2	0								0	2	1	52908.2	2	1.6	0	20	51.3645	56.70137	67.80113	54.10641	66.79779	54	73	98	64	96	27	5	10	6	6	60	121	0						4	1	.005
3	0								2	3	1	52908.2	2	1.6	0	20	51.3645	56.70137	67.80113	54.10641	66.79779	54	73	98	64	96	27	5	10	6	6	60	121	0						4	1	.005
4	0								1	2	0	52908.2	2	1.6	0	20	51.3645	56.70137	67.80113	54.10641	66.79779	54	73	98	64	96	27	5	10	6	6	60	121	0						4	0	.005
5	0								0	1	1	52908.2	2	1.6	0	20	51.3645	56.70137	67.80113	54.10641	66.79779	54	73	98	64	96	27	5	10	6	6	60	121	0						4	1	.005
6	0								0	3	1	52908.2	2	1.6	0	20	51.3645	56.70137	67.80113	54.10641	66.79779	54	73	98	64	96	27	5	10	6	6	60	121	0						4	1	.005
1	8								1	2	0	52908.2	2	3.9	0	21	46.37743	54.01052	45.64427	34.56488	39.83882	37	64	34	5	16	26	10	5	5	6	61	115	0						7	0	.825
2	0								0	3	1	52908.2	2	3.9	0	21	46.37743	54.01052	45.64427	34.56488	39.83882	37	64	34	5	16	26	10	5	5	6	61	115	0						7	1	.825
3	0								1	3	0	52908.2	2	3.9	0	21	46.37743	54.01052	45.64427	34.56488	39.83882	37	64	34	5	16	26	10	5	5	6	61	115	0						7	0	.825
4	0								0	2	0	52908.2	2	3.9	0	21	46.37743	54.01052	45.64427	34.56488	39.83882	37	64	34	5	16	26	10	5	5	6	61	115	0						7	0	.825
5	0								0	1	0	52908.2	2	3.9	0	21	46.37743	54.01052	45.64427	34.56488	39.83882	37	64	34	5	16	26	10	5	5	6	61	115	0						7	0	.825
6	0								2	3	1	52908.2	2	3.9	0	21	46.37743	54.01052	45.64427	34.56488	39.83882	37	64	34	5	16	26	10	5	5	6	61	115	0						7	1	.825
1	0								1	3	0	52908.2	2	3.9	0	21	54.87257	63.87245	57.502	58.229	38.43728	67	92	75	77	13	30	7	10	8	5	62	104	0						6	0	.545
2	0								2	3	0	52908.2	2	3.9	0	21	54.87257	63.87245	57.502	58.229	38.43728	67	92	75	77	13	30	7	10	8	5	62	104	0						6	0	.545
