* Dictionary *
election:		election #
round:		round #
delta:		delta
amount:		amount to divide
weight:		nominal weight (number of votes)
probability:	selection probability
group:		identifies subjects that were grouped together
id:			id #, constant throught session
subject:		subject #, changes across elections
amount1:		offer to subjects #1
amount2:		offer to subjects #2
amount3:		offer to subjects #3
selected:		proposal selected to take the floor
vote:			= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
date:			session date (month/day/year)
experienced:	= 1 if subjects have participated in 1 session before, 0 o/w
dropped:		identifies all the data that was dropped from the analysis reported in the paper because the proposal on the floor was from a subject that appeared confused, that subject participated in one inexperienced and one experienced session; = 1 if dropped, = 0 o/w
**************

election	round	delta	amount	weight	probability	group	id	subject	amount1	amount2	amount3	selected	vote	date	experienced	dropped
8	1	1	30	33	.3333333	2	13	1	15	15	0	0	0	22702	0	0
8	1	1	30	33	.3333333	3	1	1	30	0	0	0	0	22702	0	1
8	1	1	30	33	.3333333	3	11	3	1	15	14	0	0	22702	0	1
8	1	1	30	33	.3333333	3	15	2	.01	16.42	13.57	1	1	22702	0	1
8	1	1	30	33	.3333333	4	2	2	3	15	12	0	1	22702	0	0
8	1	1	30	33	.3333333	4	9	1	15.5	14.5	0	1	1	22702	0	0
8	1	1	30	33	.3333333	4	10	3	0	15	15	0	0	22702	0	0
8	1	1	30	33	.3333333	5	3	3	0	0	30	1	1	22702	0	0
8	1	1	30	33	.3333333	5	4	2	0	16	14	0	0	22702	0	0
8	1	1	30	33	.3333333	5	14	1	16	14	0	0	0	22702	0	0
8	2	1	30	33	.3333333	1	5	3	1	0	29	0	0	22702	0	0
8	2	1	30	33	.3333333	1	6	2	10	20	0	0	1	22702	0	0
8	2	1	30	33	.3333333	1	7	1	16	14	0	1	1	22702	0	0
8	2	1	30	33	.3333333	2	8	3	15	0	15	1	1	22702	0	0
8	2	1	30	33	.3333333	2	12	2	10	10	10	0	0	22702	0	0
8	2	1	30	33	.3333333	2	13	1	15	0	15	0	1	22702	0	0
8	2	1	30	33	.3333333	3	1	1	30	0	0	1	1	22702	0	1
8	2	1	30	33	.3333333	3	11	3	15	0	15	0	0	22702	0	1
8	2	1	30	33	.3333333	3	15	2	14	16	0	0	0	22702	0	1
8	2	1	30	33	.3333333	5	3	3	10	10	10	1	1	22702	0	0
8	2	1	30	33	.3333333	5	4	2	0	17	13	0	1	22702	0	0
8	2	1	30	33	.3333333	5	14	1	16	14	0	0	0	22702	0	0
8	3	1	30	33	.3333333	3	1	1	30	0	0	1	1	22702	0	1
8	3	1	30	33	.3333333	3	11	3	15	0	15	0	0	22702	0	1
8	3	1	30	33	.3333333	3	15	2	.01	16.2	13.79	0	0	22702	0	1
8	4	1	30	33	.3333333	3	1	1	30	0	0	0	0	22702	0	1
8	4	1	30	33	.3333333	3	11	3	15	0	15	1	1	22702	0	1
8	4	1	30	33	.3333333	3	15	2	.01	16.2	13.79	0	0	22702	0	1
8	5	1	30	33	.3333333	3	1	1	30	0	0	0	0	22702	0	1
