* Dictionary *
round:		round #
stage:		stage #
delta:		delta
amount:		amount to divide
weight:		weight (number of votes)
group:		identifies subjects that were grouped together
id:			id #, constant through session
subject:		subject #, changes across elections
step:			step #
d1:			selected demand in step 1
d2:			selected demand in step 2
demand:		demand
o1:			subject number proposed to go first
o2:			subject number proposed to go second
o3:			subject number proposed to go third
close:		= 1 if subject proposed to close the coalition, = 0 o/w
selected:		demand selected to take the floor
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
experienced:	= 1 if subjects have participated in 1 session before, = 0 o/w
total_votes:	total # of votes per group
full:			= 1 if all subjects in that session are paid in full, 0 o/w
**************

round	stage	delta	amount	weight	group	id	subject	step	d1	d2	demand	o1	o2	o3	close	selected	date	experienced	total_votes	full
5	1	1	50	1	5	12	3	1			25	3	1	2	0	0	21004.1	0	5	1
5	1	1	50	2	6	13	1	1			16.66	1	2	3	0	1	21004.1	0	5	1
5	1	1	50	2	6	14	3	1			23	3	1	2	0	0	21004.1	0	5	1
5	1	1	50	1	6	15	2	1			24.99	2	1	3	0	0	21004.1	0	5	1
5	1	1	50	2	1	16	2	2	25		25				1	1	21004.1	0	5	1
5	1	1	50	2	2	17	1	2	18		18				0	1	21004.1	0	5	1
5	1	1	50	2	3	5	2	2	23		27				1	1	21004.1	0	5	1
5	1	1	50	1	4	3	1	2	17.5		25				1	1	21004.1	0	5	1
5	1	1	50	2	5	7	1	2	26.15		23				0	1	21004.1	0	5	1
5	1	1	50	1	6	15	2	2	16.66		33.34				1	1	21004.1	0	5	1
5	1	1	50	2	2	1	2	3	18	18	14				1	1	21004.1	0	5	1
5	1	1	50	2	4	8	2	3	17.5	25	7.5				1	1	21004.1	0	5	1
5	1	1	50	1	5	12	3	3	26.15	23	23				0	1	21004.1	0	5	1
5	2	1	50	2	5	2	2	1			18.05	2	3	1	0	0	21004.1	0	5	1
5	2	1	50	2	5	7	1	1			20	1	2	3	0	1	21004.1	0	5	1
5	2	1	50	1	5	12	3	1			25	3	1	2	0	0	21004.1	0	5	1
5	2	1	50	2	5	2	2	2	20		18.05				1	1	21004.1	0	5	1
5	2	1	50	1	5	12	3	3	20	18.05	11.95				1	1	21004.1	0	5	1
6	1	1	50	2	1	4	2	1			16	2	3	1	0	1	21004.1	0	5	1
6	1	1	50	2	1	11	3	1			35	3	2	1	0	0	21004.1	0	5	1
6	1	1	50	1	1	15	1	1			24.99	1	2	3	0	0	21004.1	0	5	1
6	1	1	50	2	2	5	3	1			20	3	2	1	0	0	21004.1	0	5	1
6	1	1	50	2	2	10	2	1			45	2	1	3	0	1	21004.1	0	5	1
6	1	1	50	1	2	12	1	1			25	1	2	3	0	0	21004.1	0	5	1
6	1	1	50	1	3	6	3	1			24	3	1	2	0	0	21004.1	0	5	1
6	1	1	50	2	3	8	2	1			27	2	1	3	0	0	21004.1	0	5	1
6	1	1	50	2	3	16	1	1			27	1	3	2	0	1	21004.1	0	5	1
6	1	1	50	2	4	7	2	1			22.5	2	1	3	0	0	21004.1	0	5	1
6	1	1	50	1	4	9	1	1			15	1	3	2	0	0	21004.1	0	5	1
6	1	1	50	2	4	14	3	1			20	3	2	1	0	1	21004.1	0	5	1
6	1	1	50	2	5	2	1	1			19.25	1	2	3	0	0	21004.1	0	5	1
6	1	1	50	2	5	13	2	1			16.66	2	1	3	0	1	21004.1	0	5	1
6	1	1	50	1	5	18	3	1			25	3	1	2	0	0	21004.1	0	5	1
6	1	1	50	2	6	1	3	1			25	3	1	2	0	1	21004.1	0	5	1
6	1	1	50	1	6	3	2	1			20	2	1	3	0	0	21004.1	0	5	1
6	1	1	50	2	6	17	1	1			25	1	2	3	0	0	21004.1	0	5	1
6	1	1	50	2	1	11	3	2	16		34				1	1	21004.1	0	5	1
6	1	1	50	1	2	12	1	2	45		25				0	1	21004.1	0	5	1
6	1	1	50	1	3	6	3	2	27		28				0	1	21004.1	0	5	1
6	1	1	50	2	4	7	2	2	20		22.5				0	1	21004.1	0	5	1
6	1	1	50	2	5	2	1	2	16.66		18.5				1	1	21004.1	0	5	1
6	1	1	50	2	6	17	1	2	25		25				1	1	21004.1	0	5	1
6	1	1	50	2	2	5	3	3	45	25	25				1	1	21004.1	0	5	1
6	1	1	50	2	3	8	2	3	27	28	29				0	1	21004.1	0	5	1
6	1	1	50	1	4	9	1	3	20	22.5	20				1	1	21004.1	0	5	1
6	1	1	50	1	5	18	3	3	16.66	18.5	24.84				1	1	21004.1	0	5	1
6	2	1	50	1	3	6	3	1			22	3	1	2	0	0	21004.1	0	5	1
6	2	1	50	2	3	8	2	1			27	2	1	3	0	1	21004.1	0	5	1
6	2	1	50	2	3	16	1	1			25	1	3	2	0	0	21004.1	0	5	1
6	2	1	50	2	3	16	1	2	27		23				1	1	21004.1	0	5	1
7	1	1	50	2	1	4	2	1			25	2	3	1	0	1	21004.1	0	5	1
7	1	1	50	1	1	12	3	1			25	3	1	2	0	0	21004.1	0	5	1
7	1	1	50	2	1	14	1	1			20	1	2	3	0	0	21004.1	0	5	1
7	1	1	50	1	2	9	2	1			15	2	1	3	0	1	21004.1	0	5	1
7	1	1	50	2	2	16	1	1			25	1	3	2	0	0	21004.1	0	5	1
7	1	1	50	2	2	17	3	1			25	3	2	1	0	0	21004.1	0	5	1
7	1	1	50	2	3	7	2	1			24	2	1	3	0	1	21004.1	0	5	1
7	1	1	50	2	3	11	3	1			12	3	1	2	0	0	21004.1	0	5	1
7	1	1	50	1	3	15	1	1			20	1	2	3	0	0	21004.1	0	5	1
7	1	1	50	2	4	5	1	1			27	1	2	3	0	0	21004.1	0	5	1
7	1	1	50	1	4	6	2	1			24	2	1	3	0	1	21004.1	0	5	1
7	1	1	50	2	4	10	3	1			25	3	2	1	0	0	21004.1	0	5	1
