**  Dictionary **

paper: Paper
session: unique session identifier
subject: subject identifier in session
o_subject: identifier in session of partner
aSS, aSH, etc are experimental payoffs as a function of Stag and Hare actions by subject and o_subject
stag: dummy equal to 1 if subject chose stag
otherstag: dummy equal to 1 if partner chose stag
matching: variable that denotes the type of matching used in the experiment
rothmalouf: dummy equal 1 if lottery method was used for payment

*****

paper,session,period,subject,o_subject,aSS,aSH,aHS,aHH,stag,otherstag,matching,rothmalouf
Battalio et al (2001),1,36,14,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,36,24,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,36,25,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,36,31,24,45,0,42,12,1,1,random,0
Battalio et al (2001),1,36,33,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,36,35,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,36,36,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,36,37,36,45,0,42,12,1,0,random,0
Battalio et al (2001),1,37,14,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,37,24,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,37,25,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,37,31,36,45,0,42,12,1,1,random,0
Battalio et al (2001),1,37,33,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,37,35,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,37,36,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,37,37,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,38,14,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,38,24,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,38,25,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,38,31,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,38,33,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,38,35,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,38,36,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,38,37,36,45,0,42,12,1,1,random,0
Battalio et al (2001),1,39,14,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,39,24,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,39,25,24,45,0,42,12,1,1,random,0
Battalio et al (2001),1,39,31,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,39,33,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,39,35,36,45,0,42,12,0,1,random,0
Battalio et al (2001),1,39,36,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,39,37,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,40,14,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,40,24,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,40,25,24,45,0,42,12,1,1,random,0
Battalio et al (2001),1,40,31,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,40,33,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,40,35,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,40,36,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,40,37,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,41,14,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,41,24,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,41,25,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,41,31,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,41,33,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,41,35,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,41,36,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,41,37,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,42,14,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,42,24,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,42,25,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,42,31,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,42,33,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,42,35,36,45,0,42,12,0,1,random,0
Battalio et al (2001),1,42,36,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,42,37,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,43,14,37,45,0,42,12,1,1,random,0
