* Dictionary *
id:			    id #
oid:			    partner id #
supergame:	match #
round:		  round #
horizon:	length of supergame
r:    	    payoff to joint cooperation (reward) in dollars
s:          payoff to cooperation when other defects (sucker) in dollars
t:          payoff to defection when other cooperates (temptation) in dollars
p:          payoff to joint defection (punishment) in dollars
NOTE: r, s, t, and p above are the experimental currency units (ECU).
g:          1+g is the payoff to defection when other cooperates and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (gain)
l:          l is the payoff to cooperation when other defects and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (loss)
sizebad:    SIZE of the Basin of attraction of Always Defect, as defined in Embrey, Frechette, and Yuksel (2017), between 0 and 1.
			Only defined for round 1 because that is how it is used in that paper.
session:    session #
coop:       = 1 if subject cooperated, = 0 o/w
**************/

id	oid	supergame	round	horizon	r	s	t	p	g	l	sizebad	session	coop
82	74	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	79	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	74	6	1	8	51	22	63	39	1	1.416667	.1910112	4	0
82	74	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	78	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	75	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	73	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	74	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	73	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	80	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	76	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	81	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	79	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	80	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	74	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	78	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	80	20	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	84	1	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	82	2	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	84	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	80	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	77	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	81	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	73	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	74	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	79	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	76	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	79	11	1	8	51	22	63	39	1	1.416667	.1910112	4	0
83	81	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	85	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	74	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	78	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	81	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	73	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	75	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	84	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
83	81	20	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	83	1	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	78	2	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	83	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	75	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	75	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	80	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	77	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	80	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	76	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	81	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	73	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	79	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	74	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	85	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	85	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	75	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	76	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	85	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	83	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
84	74	20	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	82	1	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	86	2	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	86	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	81	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	76	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	76	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	78	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	73	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	81	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	74	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	80	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	86	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	83	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	84	14	1	8	51	22	63	39	1	1.416667	.1910112	4	0
85	84	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	77	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	77	17	1	8	51	22	63	39	1	1.416667	.1910112	4	0
85	84	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	79	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
85	78	20	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	81	1	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	85	2	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	85	3	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	76	4	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	74	5	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	73	6	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	80	7	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	79	8	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	78	9	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	80	10	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	76	11	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	85	12	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	77	13	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	81	14	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	74	15	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	76	16	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	81	17	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	76	18	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	73	19	1	8	51	22	63	39	1	1.416667	.1910112	4	0
86	77	20	1	8	51	22	63	39	1	1.416667	.1910112	4	0
145	149	1	1	8	51	22	63	39	1	1.416667	.1910112	7	0
